"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2022","33.000","33.000","33.650","33.000","492.60K","0.00%"
"04/29/2022","33.000","33.550","33.600","32.250","5.54M","-1.64%"
"04/28/2022","33.550","34.000","34.400","33.300","1.45M","-2.47%"
"04/27/2022","34.400","34.850","34.850","34.000","1.73M","-1.29%"
"04/26/2022","34.850","35.800","35.800","34.250","1.47M","-2.65%"
"04/25/2022","35.800","36.100","36.150","35.600","382.50K","-0.83%"
"04/22/2022","36.100","36.300","36.950","35.800","637.80K","-1.10%"
"04/21/2022","36.500","37.600","37.600","36.500","572.40K","-2.93%"
"04/20/2022","37.600","37.650","37.700","37.400","761.90K","-0.27%"
"04/19/2022","37.700","36.300","37.700","36.300","1.51M","3.86%"
"04/18/2022","36.300","36.900","36.900","36.150","516.00K","-1.63%"
"04/13/2022","36.900","35.900","36.900","35.900","500.30K","0.82%"
"04/12/2022","36.600","36.250","36.600","35.400","703.20K","0.97%"
"04/11/2022","36.250","37.000","37.150","35.800","144.80K","-2.03%"
"04/08/2022","37.000","37.000","37.000","36.650","421.70K","-0.13%"
"04/07/2022","37.050","37.600","37.700","36.800","2.24M","-1.46%"
"04/06/2022","37.600","37.650","37.650","37.100","2.41M","-0.40%"
"04/05/2022","37.750","37.100","37.850","36.650","2.62M","1.48%"
"04/04/2022","37.200","35.900","37.200","35.100","2.39M","4.20%"
"04/01/2022","35.700","35.950","35.950","35.150","625.10K","-0.14%"
"03/31/2022","35.750","35.700","36.000","35.450","1.21M","-0.28%"
"03/30/2022","35.850","35.550","36.000","35.550","1.77M","0.99%"
"03/29/2022","35.500","34.700","35.600","34.600","2.02M","2.31%"
"03/28/2022","34.700","33.050","34.750","32.950","2.41M","5.31%"
"03/25/2022","32.950","32.600","33.400","32.600","1.27M","1.23%"
"03/24/2022","32.550","32.500","32.700","32.400","1.91M","0.15%"
"03/23/2022","32.500","32.300","32.750","32.300","1.00M","0.93%"
"03/22/2022","32.200","33.000","33.100","32.050","744.80K","0.00%"
"03/21/2022","32.200","32.500","32.950","32.200","484.50K","0.00%"
"03/18/2022","32.200","33.400","34.000","32.200","1.70M","-3.30%"
"03/17/2022","33.300","33.100","33.900","33.100","853.40K","0.91%"
"03/16/2022","33.000","32.000","33.000","32.000","852.60K","3.77%"
"03/15/2022","31.800","32.050","32.150","31.500","2.33M","-0.78%"
"03/14/2022","32.050","33.000","33.650","32.050","1.40M","-2.88%"
"03/11/2022","33.000","33.700","33.700","33.000","2.65M","-1.93%"
"03/10/2022","33.650","33.850","34.050","33.600","664.60K","0.15%"
"03/09/2022","33.600","33.700","33.800","33.550","983.20K","-0.59%"
"03/08/2022","33.800","34.600","34.600","33.600","1.38M","-3.15%"
"03/07/2022","34.900","35.100","35.100","34.000","1.18M","-0.29%"
"03/04/2022","35.000","35.150","36.000","34.750","1.77M","-0.43%"
"03/03/2022","35.150","36.500","36.500","35.150","2.94M","-3.43%"
"03/02/2022","36.400","36.300","36.400","35.950","1.56M","0.28%"
"03/01/2022","36.300","35.600","36.550","35.250","1.01M","3.27%"
"02/28/2022","35.150","35.000","35.500","34.850","1.38M","-0.99%"
"02/24/2022","35.500","35.300","36.200","34.750","2.62M","0.85%"
"02/23/2022","35.200","36.000","36.000","35.200","2.13M","-2.36%"
"02/22/2022","36.050","36.650","36.650","35.850","853.20K","-1.64%"
"02/21/2022","36.650","35.900","36.750","35.550","881.40K","1.95%"
"02/18/2022","35.950","36.400","36.500","35.800","997.80K","-1.24%"
"02/17/2022","36.400","36.250","36.700","36.250","585.40K","0.69%"
"02/16/2022","36.150","36.000","36.700","35.500","853.90K","1.83%"
"02/15/2022","35.500","35.500","36.200","35.500","539.80K","0.57%"
"02/14/2022","35.300","35.500","36.350","35.300","1.85M","-0.56%"
"02/11/2022","35.500","36.300","36.700","35.500","3.37M","-2.20%"
"02/10/2022","36.300","36.900","37.100","36.100","1.76M","-1.36%"
"02/09/2022","36.800","36.600","37.300","36.600","831.30K","0.55%"
"02/08/2022","36.600","36.100","37.050","36.100","717.40K","1.95%"
"02/07/2022","35.900","37.000","37.500","35.700","3.46M","-2.84%"
"02/04/2022","36.950","36.850","37.300","36.550","2.03M","0.54%"
"02/03/2022","36.750","37.300","37.350","36.750","1.35M","0.00%"
"02/02/2022","36.750","37.150","37.800","36.750","1.66M","-0.94%"
"01/31/2022","37.100","36.550","37.400","36.550","990.10K","1.64%"
"01/28/2022","36.500","37.200","37.350","36.500","1.65M","-0.41%"
"01/27/2022","36.650","36.650","37.350","36.650","605.20K","0.14%"
"01/26/2022","36.600","37.200","37.600","36.600","1.34M","-1.08%"
"01/25/2022","37.000","37.400","37.400","37.000","582.60K","-1.07%"
"01/24/2022","37.400","37.500","37.650","37.250","496.90K","-0.13%"
"01/21/2022","37.450","37.650","37.700","37.400","660.10K","0.00%"
"01/20/2022","37.450","36.700","37.450","36.650","878.70K","1.90%"
"01/19/2022","36.750","37.500","37.700","36.650","2.77M","-2.00%"
"01/18/2022","37.500","37.900","37.950","37.350","3.13M","0.00%"
"01/17/2022","37.500","37.550","38.500","37.500","1.89M","0.54%"
"01/14/2022","37.300","37.500","37.900","37.150","5.37M","0.40%"
"01/13/2022","37.150","36.900","37.950","36.750","2.90M","1.78%"
"01/12/2022","36.500","36.200","36.750","36.200","1.93M","1.39%"
"01/11/2022","36.000","36.950","37.150","35.300","8.90M","-1.50%"
"01/10/2022","36.550","36.750","37.400","36.550","2.66M","-0.14%"
"01/07/2022","36.600","38.150","38.200","36.600","5.60M","-4.56%"
"01/06/2022","38.350","38.200","38.800","38.200","441.50K","-1.03%"
"01/05/2022","38.750","39.300","39.300","38.000","1.51M","-1.52%"
"01/03/2022","39.350","39.150","39.400","38.600","532.50K","0.13%"
"12/31/2021","39.300","39.050","39.900","38.950","1.19M","0.64%"
"12/29/2021","39.050","39.650","39.800","38.550","1.70M","-1.88%"
"12/28/2021","39.800","38.100","39.800","37.950","1.40M","4.87%"
"12/27/2021","37.950","38.500","38.600","37.900","721.20K","-1.43%"
"12/24/2021","38.500","38.450","38.500","37.850","325.00K","2.67%"
"12/23/2021","37.500","38.100","38.100","37.300","1.54M","-1.45%"
"12/22/2021","38.050","38.950","38.950","37.900","893.00K","-1.42%"
"12/21/2021","38.600","37.850","38.650","37.850","2.87M","1.98%"
"12/20/2021","37.850","37.000","37.900","36.950","1.53M","3.56%"
"12/17/2021","36.550","37.500","38.000","36.550","1.35M","-2.27%"
"12/16/2021","37.400","36.750","37.450","36.550","2.52M","2.89%"
"12/15/2021","36.350","37.550","37.900","36.350","5.19M","-3.20%"
"12/14/2021","37.550","38.200","38.200","37.550","2.19M","-1.70%"
"12/13/2021","38.200","38.700","39.250","38.200","1.51M","-0.91%"
"12/10/2021","38.550","38.500","38.900","38.450","2.29M","0.39%"
"12/09/2021","38.400","39.600","39.600","38.400","6.20M","-4.00%"
"12/07/2021","40.000","40.400","40.500","39.100","578.20K","-0.74%"
"12/06/2021","40.300","39.700","40.600","39.200","407.80K","1.51%"
"12/03/2021","39.700","39.400","40.100","38.700","1.72M","1.53%"
"12/02/2021","39.100","39.900","39.900","39.000","1.55M","-2.25%"
"12/01/2021","40.000","41.000","41.000","40.000","2.17M","-2.56%"
"11/29/2021","41.050","40.100","41.100","40.050","2.55M","2.37%"
"11/26/2021","40.100","40.600","41.350","40.100","1.08M","-1.11%"
